table#predicate#cardinality
title t#t.production_year,>,2004#1107925
movie_info mi#mi.info_type_id,<,4#3624977
movie_keyword mk#mk.keyword_id,<,55#54826
movie_keyword mk#mk.keyword_id,<,35049#4007119
movie_info_idx mi_idx#mi_idx.info_type_id,>,99#920110
cast_info ci#ci.role_id,=,10#4323018
movie_info mi#mi.info_type_id,=,3#1533909
movie_info mi#mi.info_type_id,>,16#2233850
movie_info mi#mi.info_type_id,<,16#9565151
movie_keyword mk#mk.keyword_id,=,18559#74
movie_info_idx mi_idx#mi_idx.info_type_id,<,101#919850
movie_info mi#mi.info_type_id,<,98#13963496
movie_info_idx mi_idx#mi_idx.info_type_id,=,101#459925
movie_companies mc#mc.company_type_id,<,2#1274246
movie_companies mc#mc.company_id,>,312,mc.company_type_id,=,2#1231696
movie_keyword mk#mk.keyword_id,>,5071#2200397
movie_info_idx mi_idx#mi_idx.info_type_id,<,100#459925
movie_info_idx mi_idx#mi_idx.info_type_id,=,100#459925
cast_info ci#ci.person_id,>,1423339#21791610
movie_info mi#mi.info_type_id,=,7#1401902
movie_keyword mk#mk.keyword_id,<,3639#2036196
title t#t.production_year,=,1993#26775
title t#t.kind_id,>,3#1674098
cast_info ci#ci.role_id,>,2#16121683
cast_info ci#ci.role_id,=,3#4008037
cast_info ci#ci.person_id,<,1700496#17216083
movie_keyword mk#mk.keyword_id,>,2758#2807307
movie_keyword mk#mk.keyword_id,>,430#3931052
movie_keyword mk#mk.keyword_id,<,15518#3330897
title t#t.production_year,<,2012#2224569
title t#t.kind_id,=,7,t.production_year,>,2011#150659
movie_companies mc#mc.company_id,<,95839#2328055
title t#t.kind_id,=,1#662825
cast_info ci#ci.role_id,=,1#12670688
movie_keyword mk#mk.keyword_id,<,865#906014
movie_keyword mk#mk.keyword_id,=,73864#15
movie_companies mc#mc.company_id,<,21,mc.company_type_id,<,2#109185
movie_info mi#mi.info_type_id,=,4#1298989
title t#t.production_year,>,2010#391666
title t#t.production_year,<,1999#971188
movie_info mi#mi.info_type_id,<,18#12970088
movie_info mi#mi.info_type_id,=,5#486554
movie_info mi#mi.info_type_id,<,3#2091068
movie_info mi#mi.info_type_id,>,1#14033580
title t#t.kind_id,>,4#1555864
cast_info ci#ci.person_id,=,3532427#92
cast_info ci#ci.person_id,<,1018786,ci.role_id,=,8#466780
title t#t.production_year,>,1960#2203697
movie_keyword mk#mk.keyword_id,<,5273#2351730
title t#t.kind_id,=,1,t.production_year,=,2007#17772
movie_info mi#mi.info_type_id,=,18#660923
movie_keyword mk#mk.keyword_id,>,22322#822448
movie_info mi#mi.info_type_id,<,15#8966694
movie_companies mc#mc.company_type_id,=,1#1274246
movie_info mi#mi.info_type_id,>,18#1204709
movie_keyword mk#mk.keyword_id,=,1002#4200
title t#t.kind_id,>,1,t.production_year,=,1958#6736
